1	1	5	875730244
2	1	5	875730244
3	1	5	875730244
4	1	5	875730244
5	1	5	875730244
1	2	5	875730244
2	2	5	875730244
3	2	5	875730244
4	2	5	875730244
5	2	5	875730244
1	3	5	875730244
2	3	5	875730244
3	3	5	875730244
4	3	5	875730244
5	3	5	875730244
1	4	5	875730244
2	4	5	875730244
3	4	5	875730244
4	4	5	875730244
5	4	5	875730244
1	5	5	875730244
2	5	5	875730244
3	5	5	875730244
4	5	5	875730244
5	5	5	875730244

1	6	5	875730244
2	6	5	875730244
3	6	5	875730244
4	6	5	875730244
5	6	5	875730244

6	7	2	875730244
7	7	2	875730244
8	7	2	875730244
9	7	2	875730244
10	7	2	875730244
6	8	2	875730244
7	8	2	875730244
8	8	2	875730244
9	8	2	875730244
10	8	2	875730244
6	9	2	875730244
7	9	2	875730244
8	9	2	875730244
9	9	2	875730244
10	9	2	875730244
6	10	2	875730244
7	10	2	875730244
8	10	2	875730244
9	10	2	875730244
10	10	2	875730244
6	11	2	875730244
7	11	2	875730244
8	11	2	875730244
9	11	2	875730244
10	11	2	875730244

11	12	1	875730244
12	12	1	875730244

13	13	5	875730244
14	13	4	875730244
15	13	4	875730244
16	13	4	875730244
17	13	4	875730244
